Player ID,first_name,last_name,team,hits,avg,homeruns,atbats,obp,stolenbases,rbi
641924,Jacob,Nottingham,Milwaukee Brewers,4,.200,0,20,.333,0,0
467100,Ivan,Nova,Detroit Tigers,1,.019,0,53,.019,0,0
456488,Eduardo,Nunez,New York Mets,127,.265,10,480,.289,7,44
600524,Renato,Nunez,Baltimore Orioles,61,.258,8,236,.322,0,22
598284,Peter,O'Brien,Atlanta Braves,18,.273,4,66,.338,0,10
503285,Darren,O'Day,Atlanta Braves,0,.---,0,0,.---,0,0
622217,Chris,O'Grady,Miami Marlins,0,.---,0,0,.---,0,0
656811,Ryan,O'Hearn,Kansas City Royals,39,.262,12,149,.353,0,30
641933,Tyler,O'Neill,St. Louis Cardinals,33,.254,9,130,.303,2,23
623184,Scott,Oberg,Colorado Rockies,0,.---,0,0,.---,0,0
596059,Rougned,Odor,Texas Rangers,120,.253,18,474,.326,12,63
543606,Jake,Odorizzi,Minnesota Twins,0,.000,0,6,.000,0,0
493200,Seunghwan,Oh,Colorado Rockies,0,.---,0,0,.---,0,0
660271,Shohei,Ohtani,Los Angeles Angels,93,.285,22,326,.361,10,61
595345,Steven,Okert,San Francisco Giants,0,.---,0,0,.---,0,0
621566,Matt,Olson,Oakland Athletics,143,.247,29,580,.335,2,84
644337,Nate,Orf,Oakland Athletics,2,.095,1,21,.240,1,1
542364,Rafael,Ortega,Atlanta Braves,31,.233,0,133,.287,5,7
592612,Josh,Osich,Chicago Cubs,0,.---,0,0,.---,0,0
591741,Jose,Osuna,Pittsburgh Pirates,24,.226,3,106,.252,0,11
532077,Roberto,Osuna,Houston Astros,0,.---,0,0,.---,0,0
621261,Corey,Oswalt,New York Mets,0,.000,0,18,.000,0,0
519096,Dan,Otero,New York Yankees,0,.---,0,0,.---,0,0
493603,Adam,Ottavino,New York Yankees,0,.---,0,0,.---,0,0
572008,Chris,Owings,Colorado Rockies,58,.206,4,281,.272,11,22
542303,Marcell,Ozuna,Atlanta Braves,163,.280,23,582,.325,3,88
641941,Emilio,Pagan,San Diego Padres,0,.---,0,0,.---,0,0
594953,Daniel,Palka,Chicago White Sox,100,.240,27,417,.294,2,67
605412,Joe,Panik,Toronto Blue Jays,91,.254,4,358,.307,4,24
623381,Thomas,Pannone,Toronto Blue Jays,0,.---,0,0,.---,0,0
453284,Blake,Parker,Philadelphia Phillies,0,.---,0,0,.---,0,0
467827,Gerardo,Parra,Washington Nationals,114,.284,6,401,.342,11,53
641149,Wes,Parsons,Colorado Rockies,0,.000,0,1,.000,0,0
572021,James,Pazos,Colorado Rockies,0,.---,0,0,.---,0,0
502748,Brad,Peacock,Houston Astros,0,.000,0,1,.000,0,0
456665,Steve,Pearce,Boston Red Sox,61,.284,11,215,.378,0,42
592626,Joc,Pederson,Los Angeles Dodgers,98,.248,25,395,.321,1,56
456030,Dustin,Pedroia,Boston Red Sox,1,.091,0,11,.231,0,0
641962,CD,Pelham,Chicago Cubs,0,.---,0,0,.---,0,0
570240,Felix,Pena,Los Angeles Angels,0,.000,0,6,.000,0,0
506747,Francisco,Pena,Cincinnati Reds,27,.203,2,133,.239,1,8
452254,Hunter,Pence,San Francisco Giants,53,.226,4,235,.258,5,24
444482,David,Peralta,Arizona Diamondbacks,164,.293,30,560,.352,4,87
642547,Freddy,Peralta,Milwaukee Brewers,1,.038,0,26,.038,0,1
593974,Wandy,Peralta,San Francisco Giants,0,.000,0,1,.000,0,0
503449,Wily,Peralta,Kansas City Royals,0,.---,0,0,.---,0,0
606299,Jose,Peraza,Boston Red Sox,182,.288,14,632,.326,23,58
606131,Luis,Perdomo,San Diego Padres,2,.250,0,8,.222,0,1
542208,Carlos,Perez,Oakland Athletics,10,.143,1,70,.178,1,3
672335,Cionel,Perez,Houston Astros,0,.---,0,0,.---,0,0
541650,Hernan,Perez,Chicago Cubs,80,.253,9,316,.290,11,29
527048,Martin,Perez,Boston Red Sox,0,.000,0,3,.000,0,0
605421,Michael,Perez,Tampa Bay Rays,21,.284,1,74,.304,0,11
424144,Oliver,Perez,Cleveland Indians,0,.---,0,0,.---,0,0
547379,Roberto,Perez,Cleveland Indians,30,.168,2,179,.256,1,19
521692,Salvador,Perez,Kansas City Royals,120,.235,27,510,.274,1,80
596071,Dillon,Peters,Los Angeles Angels,1,.143,0,7,.250,0,0
607054,Jace,Peterson,Milwaukee Brewers,42,.200,3,210,.310,13,28
623402,Tim,Peterson,New York Mets,0,.000,0,2,.000,0,0
463610,Gregorio,Petit,Philadelphia Phillies,15,.246,0,61,.313,3,3
433589,Yusmeiro,Petit,Oakland Athletics,0,.---,0,0,.---,0,0
502593,Jake,Petricka,Toronto Blue Jays,0,.000,0,1,.000,0,0
502054,Tommy,Pham,San Diego Padres,136,.275,21,494,.367,15,63
572033,Josh,Phegley,Chicago Cubs,19,.204,2,93,.255,0,15
621433,Brett,Phillips,Tampa Bay Rays,25,.187,2,134,.252,1,11
623465,Evan,Phillips,Baltimore Orioles,0,.---,0,0,.---,0,0
607680,Kevin,Pillar,Colorado Rockies,129,.252,15,512,.282,14,59
444489,Manny,Pina,Milwaukee Brewers,77,.252,9,306,.307,2,28
640461,Chad,Pinder,Oakland Athletics,77,.258,13,298,.332,0,27
517369,Jose,Pirela,Philadelphia Phillies,109,.249,5,438,.300,6,32
572039,Stephen,Piscotty,Oakland Athletics,146,.267,27,546,.331,2,88
601713,Nick,Pivetta,Boston Red Sox,4,.100,0,40,.143,0,1
608700,Kevin,Plawecki,Boston Red Sox,50,.210,7,238,.315,0,30
461858,Trevor,Plouffe,Philadelphia Phillies,3,.250,1,12,.250,0,3
592644,Adam,Plutko,Cleveland Indians,0,.---,0,0,.---,0,0
570256,Gregory,Polanco,Pittsburgh Pirates,117,.254,23,461,.340,12,81
593871,Jorge,Polanco,Minnesota Twins,87,.288,6,302,.345,7,42
572041,AJ,Pollock,Los Angeles Dodgers,106,.257,21,413,.316,13,65
519141,Drew,Pomeranz,San Diego Padres,0,.---,0,0,.---,0,0
594965,Daniel,Ponce de Leon,St. Louis Cardinals,1,.111,0,9,.111,0,1
519144,Rick,Porcello,New York Mets,3,.429,0,7,.429,0,3
457763,Buster,Posey,San Francisco Giants,113,.284,5,398,.359,3,41
